autore,anno,titolo,editore,luogo
Arnheim Rudolf,2015,Arte e percezione visiva,Giangiacomo Feltrinelli Editore,Milano
Bandinelli Angiolo Lussu Giovanni Iacobelli Roberto,2015,Farsi un libro,Stampa Alternativa,Roma
Baroni Daniele,2015,Il manuale del design grafico,Mauri Spagnol,Milano
Bertin Jacques tradotto da William J. Berg,2011,Semiology of Graphics,ESRI Press,New York
Cangiano Serena e Fornari Davide,2015,Arte ri-programmata,Johan&Levi Editore,Truccazzano
Carsten Nicolai,2009,Grid Index,Die Gestalten Verlag GmbH & CO.KG.,Berlino
De Micheli Mario,2015,Le avanguardie artistiche del Novecento,Giangiacomo Feltrinelli Editore,Milano
Edward Sutherland Ivan,1963,Sketchpad A man-machine graphical communication system,Massachusetts Institute of Technology,California
Falcinelli Riccardo,2014,Critica portatile al visual design,Enaudi Editore,Torino
Gross et al,2018,Generative Design,Princeton Architectural Press,New York
Hirschbühl Yan,2008,Creative Destruction,Tesi di laurea in Comunicazione visiva,Trevano
Leavitt Ruth,1976,Artist and computer,Harmony,Stati Uniti d’America
Maeda John,2006,Le leggi della semplicità,Bruno Mondadori,Settimo Milanese 
Maurer Luna & Paulus Edo & Puckey Jonathan & Wouters Roel,2013,Conditional Design Workbook,Valiz,Amsterdam
Meneguzzo Marco & Morteo Enrico & Saibene Alberto,2012,Programmare l’arte - Olivetti e le neoavanguardie cinetiche,Johan & Levi Editore,Truccazzano
Meneguzzo Marco,2012,Arte programmata - cinquant’anni dopo,Johan & Levi Editore,Truccazzano
Munari Bruno,1984,Libro illeggibile MN1,Maurizio Corraini,Mantova
Munari Bruno,1988,Da cosa nasce cosa,Laterza,Bari-Roma
Munari Bruno,2005,La favola delle favole,Maurizio Corraini,Mantova
Munari Bruno,2017,Design e Comunicazione visiva,Laterza,Bari-Roma
Müller-Brockmann Josef,2017,Sistemi a griglia per la progettazione grafica,Entremonde,Italia
Norman Donald,2015,Il computer invisibile,Giangiacomo Feltrinelli Editore,Milano
Norman Donald,2015,La caffettiera del masochista - il design degli oggetti quotidiani,Giunti Editore,Firenze
Paraggio Andrea,2011,Data Design,Università degli studi di Roma,Salerno
Soddu Celestino,1998,Generative Art Proceedings of the 1998 Milan First International Conference,Editore Domus Argenia,Milano
Vergine Lea,1983,Arte programmata e cinetica 1953/1963,Arti grafiche Leva A&G,Sesto S. Giovanni
Williams Robin,1990,The Mac is not a typerwriter,Peachpit Press,Berkeley
Jotham Fry Benjamin,2000,Computational Information Design,MIT,Massachusetts